单词名,忘记次数,记得次数,需要背这个单词,难度,已查看次数,评论,图片有用
reproof,3,1,1,6.6051,4,,
rapprochement,3,1,1,6.6051,4,,
transgress,3,1,1,6.6051,4,,
tact,3,1,1,6.6051,4,,
ratiocination,3,1,1,6.6051,4,ratio比率，有道理的。cination,
precipice,3,1,1,6.6051,4,,
dissect,3,1,1,6.6051,4,,
fender,3,1,1,6.6051,4,,0.0
wilt,3,1,1,6.6051,4,,
abhor,3,1,1,6.6051,4,ab反，hor难受，hor混蛋,
piebald,3,1,1,6.6051,4,,
querulous,3,1,1,6.6051,4,,
ramble,3,1,1,6.6051,4,,
foster,3,1,1,6.6051,4,,
perspicuity,3,1,1,6.6051,4,,
poseur,3,1,1,6.6051,4,,
surpass,3,1,1,6.6051,4,sur上，pass通过。从上面通过，超越,
lampoon,3,1,1,6.6051,4,,
palpable,3,1,1,6.6051,4,,
veracious,3,1,1,6.6051,4,,
antithetical,3,1,1,6.6051,4,,
accolade,3,1,1,6.6051,4,,0.0
lacerate,3,1,1,6.6051,4,,
pernicious,3,1,1,6.6051,4,per相关 nicious有毒,
hearken,4,2,1,6.6051,4,horizon。ken看，眼睛所能看到的范围,0.0
opprobrious,3,1,1,6.6051,4,,
perilous,3,1,1,6.6051,4,,
tactless,5,2,1,6.6051,4,,
forfeit,3,1,1,6.6051,4,,0.0
rambunctious,3,1,1,6.6051,4,,0.0
vaunt,3,1,1,6.6051,4,,0.0
glower,3,1,1,6.6051,4,,
evict,3,1,1,6.6051,4,,
apocryphal,3,1,1,6.6051,4,apocryphal story,0.0
detour,3,1,1,6.6051,4,,
incinerate,3,1,1,6.6051,4,,
mawkish,3,1,1,6.6051,4,maw难受，kish哭泣,
prowess,3,1,1,6.6051,4,,
maladroit,3,1,1,6.6051,4,mala邪恶坏droit笨拙,
quiescent,3,1,1,6.6051,4,,
muffle,3,1,1,6.6051,4,,
apoplectic,3,1,1,6.6051,4,,
hyperbole,3,1,1,6.6051,4,,
paraphrase,3,1,1,6.6051,4,,
jettison,3,1,1,6.6051,4,,
shirk,5,2,1,6.6051,4,ir呕，k刻薄。令人反感,
nondescript,3,1,1,6.6051,4,,
halcyon,3,1,1,6.6051,4,,
supplicate,3,1,1,6.6051,4,,
tycoon,3,1,1,6.6051,4,,
surreptitious,3,1,1,6.6051,4,,
reconnoiter,3,1,1,6.6051,4,,
nettle,3,1,1,6.6051,4,,
surrender,4,1,1,6.6051,4,,0.0
slack,3,1,1,6.6051,4,,
squat,3,1,1,6.6051,4,,
adversary,3,1,1,6.6051,4,advers反对，sary人,
ingenuity,3,1,1,6.6051,4,,
entrap,3,1,1,6.6051,4,,
tactile,4,1,1,6.6051,4,,
sacrosanct,3,1,1,6.6051,4,,
quell,3,1,1,6.6051,4,测高血压的绷带,1.0
rife,3,1,1,6.6051,4,,
laconic,3,1,1,6.6051,4,,0.0
motile,3,1,1,6.6051,4,,0.0
grimace,3,1,1,6.6051,4,,
inconsequential,3,1,1,6.6051,4,,0.0
ponderable,3,1,1,6.6051,4,,
insolent,3,1,1,6.6051,4,,
prudish,3,1,1,6.6051,4,,
irrigate,3,1,1,6.6051,4,,
appall,3,1,1,6.6051,4,,
substantiate,3,1,1,6.6051,4,,
amble,3,1,1,6.6051,4,,
somnolence,3,1,1,6.6051,4,,
wrongheaded,3,1,1,6.6051,4,,0.0
scotch,3,1,1,6.6051,4,,
solicitous,3,1,1,6.6051,4,,
liken,3,2,1,6.6051,4,horizon。ken看，眼睛所能看到的范围,0.0
spoof,3,1,1,6.6051,4,恶搞,0.0
lissome,3,1,1,6.6051,4,,
quibble,3,1,1,6.6051,4,,
parity,3,1,1,6.6051,4,,
prosaic,3,1,1,6.6051,4,打哈欠,
foreground,3,1,1,6.6051,4,,
raffish,3,1,1,6.6051,4,ra乱的，ffish廉价的,
purlieu,3,1,1,6.6051,4,,
quixotic,3,1,1,6.6051,4,,
nascent,3,1,1,6.6051,4,,
vendor,3,1,1,6.6051,4,,
grit,3,1,1,6.6051,4,,
ken,3,1,1,6.6051,4,horizon。ken看，眼睛所能看到的范围,0.0
outmaneuver,6,3,1,6.6051,4,,
turmoil,3,1,1,6.6051,4,,
embark,3,1,1,6.6051,4,,0.0
clamor,3,1,1,6.6051,4,,
labyrinthine,3,1,1,6.6051,4,,
outmoded,3,1,1,6.6051,4,,
clandestine,3,1,1,6.6051,4,,
tamper,3,1,1,6.6051,4,,
retentive,3,1,1,6.6051,4,,0.0
clan,3,1,1,6.6051,4,,
mongrel,3,1,1,6.6051,4,,
eclat,3,1,1,6.6051,4,,
plenitude,3,1,1,6.6051,4,,
irk,3,1,1,6.6051,4,ir呕，k刻薄。令人反感,
recuperate,3,1,1,6.6051,4,re重新，cuperate cuprate铜的。铜头铁臂，身体健康,
rapacious,3,1,1,6.6051,4,,
pigment,3,1,1,6.6051,4,,
conjure,3,1,1,6.6051,4,,
politic,3,1,1,6.6051,4,,
rudimentary,3,1,1,6.6051,4,rudi 原始的 未开发的,0.0
scads,3,1,1,6.6051,4,,
incongruent,3,1,1,6.6051,4,,
proscribe,3,1,1,6.6051,4,,
lenient,3,1,1,6.6051,4,,
preoccupation,3,1,1,6.6051,4,,
tempestuous,3,1,1,6.6051,4,temp脾气，pestuous大量的,
repute,3,1,1,6.6051,4,,
inane,3,1,1,6.6051,4,,
lamentable,4,1,1,6.6051,4,,
vitiate,3,1,1,6.6051,4,vi tia削，te,0.0
dated,3,1,1,6.6051,4,,
molt,3,1,1,6.6051,4,,
onset,3,1,1,6.6051,4,,
smirk,4,2,1,6.6051,4,ir呕，k刻薄。令人反感,
revelry,3,1,1,6.6051,4,,
sequela,6,2,1,6.6051,4,,0.0
infirm,3,1,1,6.6051,4,,
gasification,3,1,1,6.6051,4,,
rabid,3,1,1,6.6051,4,,
sequel,3,1,1,6.6051,4,,0.0
plethora,3,1,1,6.6051,4,,
shred,3,1,1,6.6051,4,,0.0
viscid,3,1,1,6.6051,4,,
caustic,3,1,1,6.6051,4,,
renegade,3,1,1,6.6051,4,,0.0
odium,3,1,1,6.6051,4,,
repartee,3,1,1,6.6051,4,rep汇报报告，art艺术，ee人,0.0
palpitation,3,1,1,6.6051,4,,
rupture,3,1,1,6.6051,4,,
provoke,11,2,1,6.603481718151424,13,,0.0
squint,11,2,1,6.603481718151424,13,"goggle 直视
 The driver squinted as the sun hit his windshield. 阳光使得驾驶员不得不把眼睛偏向一边",0.0
tenacious,1,1,1,6.6,2,,
warp,1,2,1,6.6,2,,
justify,1,2,1,6.6,2,,
ingrained,2,1,1,6.6,5,,
teeming,1,1,1,6.6,2,,
stasis,1,1,1,6.6,2,,
peculiarity,4,1,1,6.6,10,,
cacophony,1,1,1,6.6,2,,
preservative,1,1,1,6.6,2,,
stock,1,1,1,6.6,2,,
creek,1,1,1,6.6,2,,
categorical,1,1,1,6.6,2,,
dupe,1,1,1,6.6,2,,
husband,1,1,1,6.6,2,,
anathema,1,1,1,6.6,2,,
abject,1,1,1,6.6,2,,
fledgling,1,1,1,6.6,2,,
tantamount,1,1,1,6.6,2,,
ethereal,1,1,1,6.6,2,,
stockade,1,1,1,6.6,2,,
accelerate,1,2,1,6.6,2,,
excoriate,1,1,1,6.6,2,,
restrain,1,2,1,6.6,2,,
knit,1,1,1,6.6,2,,
precipitous,14,4,1,6.585073181591718,17,pre之前，cipi切断、陡峭、突变，面对悬崖之前,
meretricious,8,2,1,6.58223324888612,10,,0.0
purloin,8,2,1,6.58223324888612,10,,
sanguine,10,2,1,6.5741888463549865,12,san太阳的 guine真诚的,0.0
ill-bred,10,2,1,6.5741888463549865,12,,0.0
obstreperous,10,2,1,6.5741888463549865,12,,
plight,10,2,1,6.5741888463549865,12,,
apprise,7,2,1,6.573330349270835,9,,
gripe,7,2,1,6.573330349270835,9,,
incandescent,7,2,1,6.573330349270835,9,,
flag,10,4,1,6.5668328118651464,14,,0.0
camouflage,11,5,1,6.5668328118651464,14,,0.0
lag,10,2,1,6.5668328118651464,14,,0.0
plagiarize,10,3,1,6.5668328118651464,14,,0.0
conflagration,14,5,1,6.5668328118651464,14,"rational 理性的供应
rational 理性的供应，按理性分配",0.0
wayward,15,3,1,6.566768267785455,18," had always been the most wayward of their three children
way自己的方向 ward朝前走。不听话，固执",0.0
propensity,14,3,1,6.560398041361195,11,,0.0
altruism,6,1,1,6.55753275,8,al施加，truism好的,
turncoat,1,1,1,6.555,2,,
vestigial,1,1,1,6.555,2,,
hoax,1,1,1,6.555,2,,
turpitude,1,1,1,6.555,2,,
incipient,1,1,1,6.555,2,,
recant,1,1,1,6.555,2,,
palatial,1,1,1,6.555,2,,
extraneous,1,1,1,6.555,2,,
ironclad,1,1,1,6.555,2,,
whimsical,9,2,1,6.539475696232934,11,丰富多彩的颜色,
precipitate,9,2,1,6.539475696232934,11,,1.0
sham,9,2,1,6.539475696232934,11,,0.0
faze,9,2,1,6.539475696232934,11,,0.0
ruse,7,2,1,6.538988298333334,9,,0.0
abstruse,9,4,1,6.538988298333334,9,,0.0
spent,11,3,1,6.534990289281385,14,,
iniquity,7,2,1,6.531988777495834,9,,
labile,12,3,1,6.5244326856403925,16,,0.0
reprehend,6,1,1,6.523505763750001,8,prehend装，reprehend又装，气势汹汹,
graft,6,2,1,6.5233876657500005,8,,0.0
quack,6,2,1,6.5079758767500016,8,,0.0
macerate,8,2,1,6.497710674283781,10,,
remnant,8,2,1,6.497710674283781,10,,0.0
hauteur,8,2,1,6.497710674283781,10,hau吼，往肚子里吸气，自高自大,
smattering,8,2,1,6.497710674283781,10,,0.0
reprobate,8,2,1,6.497710674283781,10,re重新，probate遗嘱。重新死亡，绝望，堕落,
importune,8,2,1,6.497710674283781,10,import重要，tune语气，以很重要的语气,
sublime,8,2,1,6.497710674283781,10,,0.0
indecorous,8,2,1,6.497710674283781,10,,0.0
refractory,8,2,1,6.497710674283781,10,,0.0
effrontery,2,1,1,6.4925000000000015,3,,
off-key,2,1,1,6.4925000000000015,3,,
gaudy,2,1,1,6.4925000000000015,3,,
nirvana,2,1,1,6.4925000000000015,3,,
padding,2,1,1,6.4925000000000015,3,,0.0
bustle,2,1,1,6.4925000000000015,3,,
saturnine,2,1,1,6.4925000000000015,3,,
mangy,2,1,1,6.4925000000000015,3,卑微的流浪狗,
mangle,2,1,1,6.4925000000000015,3,,
recidivate,2,1,1,6.4925000000000015,3,,
unanimous,2,1,1,6.4925000000000015,3,,
wobble,2,1,1,6.4925000000000015,3,,
proprietary,2,1,1,6.4925000000000015,3,,
ingenious,2,1,1,6.4925000000000015,3,,
glib,2,1,1,6.4925000000000015,3,,
striate,2,1,1,6.4925000000000015,3,,
embolden,2,1,1,6.4925000000000015,3,,
ponderous,2,1,1,6.4925000000000015,3,,
serene,4,2,1,6.4925000000000015,3,,0.0
stomach,2,1,1,6.4925000000000015,3,,0.0
heartrending,6,2,1,6.4925000000000015,3,,0.0
lurid,2,1,1,6.4925000000000015,3,,
infuse,2,1,1,6.4925000000000015,3,,
scour,2,1,1,6.4925000000000015,3,,
deign,2,1,1,6.4925000000000015,3,deign，对嗯，屈尊就驾,0.0
commend,2,1,1,6.4925000000000015,3,,
prevalent,2,1,1,6.4925000000000015,3,,
attenuate,2,1,1,6.4925000000000015,3,,
balk,2,1,1,6.4925000000000015,3,,
incubate,2,1,1,6.4925000000000015,3,,
genial,2,1,1,6.4925000000000015,3,,0.0
ambrosial,2,1,1,6.4925000000000015,3,,
prescience,2,1,1,6.4925000000000015,3,,
swindle,2,1,1,6.4925000000000015,3,,
industrious,2,1,1,6.4925000000000015,3,,
miscreant,2,1,1,6.4925000000000015,3,,
pertinacious,2,1,1,6.4925000000000015,3,,0.0
venal,2,1,1,6.4925000000000015,3,,
scoff,2,1,1,6.4925000000000015,3,,
deracinate,2,1,1,6.4925000000000015,3,,
credulous,2,1,1,6.4925000000000015,3,,
console,2,1,1,6.4925000000000015,3,,
loath,4,2,1,6.4925000000000015,3,,
comity,2,1,1,6.4925000000000015,3,,
malign,3,2,1,6.4925000000000015,3,,
postulate,2,1,1,6.4925000000000015,3,,0.0
vile,2,1,1,6.4925000000000015,3,,
germinate,2,1,1,6.4925000000000015,3,,
gossamer,2,1,1,6.4925000000000015,3,,
jejune,2,1,1,6.4925000000000015,3,不知道干啥,
crumple,3,2,1,6.4925000000000015,3,,0.0
recumbent,2,1,1,6.4925000000000015,3,re再次，cum阻碍笨拙，bent弯曲。躺着走路很笨拙,
dreary,2,1,1,6.4925000000000015,3,,
discommode,2,1,1,6.4925000000000015,3,,
astute,2,1,1,6.4925000000000015,3,,
finesse,2,1,1,6.4925000000000015,3,,0.0
willy-nilly,3,1,1,6.4925000000000015,3,nun,0.0
charlatan,2,1,1,6.4925000000000015,3,,
fracas,2,1,1,6.4925000000000015,3,,
acquiesce,2,1,1,6.4925000000000015,3,,
wane,2,1,1,6.4925000000000015,3,,
proffer,2,1,1,6.4925000000000015,3,,
officious,2,1,1,6.4925000000000015,3,,
explicit,2,1,1,6.4925000000000015,3,,
mockery,2,1,1,6.4925000000000015,3,,
limp,2,1,1,6.4925000000000015,3,,
sartorial,2,1,1,6.4925000000000015,3,,
bonhomie,2,1,1,6.4925000000000015,3,,
stultify,2,1,1,6.4925000000000015,3,,
inflame,2,1,1,6.4925000000000015,3,,
vicious,2,1,1,6.4925000000000015,3,邪恶的,
offhand,2,1,1,6.4925000000000015,3,,0.0
insulate,2,1,1,6.4925000000000015,3,,
slouch,2,1,1,6.4925000000000015,3,,
nullification,2,1,1,6.4925000000000015,3,,
subject,2,1,1,6.4925000000000015,3,,
chicanery,2,1,1,6.4925000000000015,3,,
sensation,2,1,1,6.4925000000000015,3,,
clog,2,1,1,6.4925000000000015,3,,
surveillance,2,1,1,6.4925000000000015,3,,
terror,2,1,1,6.4925000000000015,3,,
mordant,2,1,1,6.4925000000000015,3,,
invincible,2,1,1,6.4925000000000015,3,,
ridicule,2,1,1,6.4925000000000015,3,,
taut,2,1,1,6.4925000000000015,3,,
maven,2,1,1,6.4925000000000015,3,,0.0
deplorable,2,1,1,6.4925000000000015,3,,
amenable,2,1,1,6.4925000000000015,3,,
shun,2,1,1,6.4925000000000015,3,瞬间逃避,
jibe,2,1,1,6.4925000000000015,3,,0.0
grieve,2,1,1,6.4925000000000015,3,,
callow,2,1,1,6.4925000000000015,3,,
congenial,2,1,1,6.4925000000000015,3,,0.0
tint,2,1,1,6.4925000000000015,3,,0.0
jabber,2,1,1,6.4925000000000015,3,,
loathe,5,3,1,6.4925000000000015,3,,
subdue,2,1,1,6.4925000000000015,3,制服歹徒,
swear,2,1,1,6.4925000000000015,3,,
obliging,2,1,1,6.4925000000000015,3,,
largesse,2,1,1,6.4925000000000015,3,,
impertinent,3,1,1,6.4925000000000015,3,,
elegy,2,1,1,6.4925000000000015,3,,
grandiose,2,1,1,6.4925000000000015,3,,
morbid,2,1,1,6.4925000000000015,3,,
supersede,2,1,1,6.4925000000000015,3,,
repel,2,1,1,6.4925000000000015,3,,0.0
reprieve,2,1,1,6.4925000000000015,3,,
drab,2,1,1,6.4925000000000015,3,,
ostentatious,2,1,1,6.4925000000000015,3,,
din,2,1,1,6.4925000000000015,3,,0.0
stint,4,2,1,6.4925000000000015,3,,0.0
palatable,2,1,1,6.4925000000000015,3,,
incontrovertible,3,1,1,6.4925000000000015,3,,0.0
bracing,2,1,1,6.4925000000000015,3,,0.0
hive,2,1,1,6.4925000000000015,3,"像蜂巢一样忙碌
",
rickety,2,1,1,6.4925000000000015,3,,
myopic,2,1,1,6.4925000000000015,3,,
servile,5,1,1,6.4925000000000015,3,,
disjunctive,2,1,1,6.4925000000000015,3,,
avid,2,1,1,6.4925000000000015,3,,
overt,2,1,1,6.4925000000000015,3,,0.0
mash,2,1,1,6.4925000000000015,3,,0.0
crestfallen,3,1,1,6.4925000000000015,3,,
bravura,2,1,1,6.4925000000000015,3,,0.0
intrinsic,2,1,1,6.4925000000000015,3,,
herald,2,1,1,6.4925000000000015,3,,
slur,2,1,1,6.4925000000000015,3,,0.0
nudge,2,1,1,6.4925000000000015,3,,
scrupulous,2,1,1,6.4925000000000015,3,,
voyeur,2,1,1,6.4925000000000015,3,,
tightfisted,2,1,1,6.4925000000000015,3,,
droll,2,1,1,6.4925000000000015,3,dro愚蠢，roll角色，愚蠢的角色,
futile,2,1,1,6.4925000000000015,3,,
subordinate,2,1,1,6.4925000000000015,3,,0.0
confine,2,1,1,6.4925000000000015,3,,
bathetic,2,1,1,6.4925000000000015,3,,
overwrought,2,1,1,6.4925000000000015,3,,
trepidation,2,1,1,6.4925000000000015,3,,
unkempt,2,1,1,6.4925000000000015,3,un看不得，太乱了,
understudy,2,1,1,6.4925000000000015,3,在台下学习的演员,
proponent,2,1,1,6.4925000000000015,3,,
stamina,2,1,1,6.4925000000000015,3,,
oaf,2,1,1,6.4925000000000015,3,,
pathological,2,1,1,6.4925000000000015,3,,
snub,2,1,1,6.4925000000000015,3,,
relentless,2,1,1,6.4925000000000015,3,,
cessation,2,1,1,6.4925000000000015,3,,
autocracy,4,2,1,6.4925000000000015,3,,
topsy-turvy,2,1,1,6.4925000000000015,3,,
confound,2,1,1,6.4925000000000015,3,,
clarion,2,1,1,6.4925000000000015,3,,
glut,2,1,1,6.4925000000000015,3,,
obstruct,2,1,1,6.4925000000000015,3,,
squander,2,1,1,6.4925000000000015,3,,
aggregate,2,1,1,6.4925000000000015,3,,
condescending,2,2,1,6.4925000000000015,3,,0.0
audacious,2,1,1,6.4925000000000015,3,,
verve,2,1,1,6.4925000000000015,3,,
spiny,2,1,1,6.4925000000000015,3,,
rail,2,1,1,6.4925000000000015,3,,
piquant,2,1,1,6.4925000000000015,3,,
demanding,2,1,1,6.4925000000000015,3,,0.0
stricture,2,1,1,6.4925000000000015,3,,0.0
serrate,2,1,1,6.4925000000000015,3,,
soothe,2,1,1,6.4925000000000015,3,,
sere,2,1,1,6.4925000000000015,3,,0.0
murky,2,1,1,6.4925000000000015,3,,
stalwart,2,1,1,6.4925000000000015,3,无所畏惧的军队 stal war t,
cadge,2,1,1,6.4925000000000015,3,,
skirmish,2,1,1,6.4925000000000015,3,skir扰乱 mish乱,
esoteric,2,1,1,6.4925000000000015,3,,
evince,2,1,1,6.4925000000000015,3,,
uphold,2,1,1,6.4925000000000015,3,,
inherent,2,1,1,6.4925000000000015,3,,
aggrieve,2,2,1,6.4925000000000015,3,,
insubordinate,2,1,1,6.4925000000000015,3,,0.0
parenthesis,2,1,1,6.4925000000000015,3,,
stammer,2,1,1,6.4925000000000015,3,,0.0
adulterate,2,1,1,6.4925000000000015,3,成年人的假酒 adult ,
foment,2,1,1,6.4925000000000015,3,,
concatenate,2,1,1,6.4925000000000015,3,,
disjointed,2,1,1,6.4925000000000015,3,joint 关节， dis joint 关节失调,0.0
jest,2,1,1,6.4925000000000015,3,,
buoy,2,1,1,6.4925000000000015,3,,
plumb,2,1,1,6.4925000000000015,3,plumb铅垂线，纵深,
raspy,2,1,1,6.4925000000000015,3,,
hilarious,2,1,1,6.4925000000000015,3,,
wanting,2,3,1,6.4925000000000015,3,,
paragon,2,1,1,6.4925000000000015,3,,
reticent,2,1,1,6.4925000000000015,3,,
vanquish,2,1,1,6.4925000000000015,3,,0.0
giddy,2,1,1,6.4925000000000015,3,,
perambulate,2,1,1,6.4925000000000015,3,ramb漫步,
wheedle,2,1,1,6.4925000000000015,3,,
acumen,2,1,1,6.4925000000000015,3,敏锐的洞察力,
scourge,3,1,1,6.4925000000000015,3,,
nefarious,2,1,1,6.4925000000000015,3,,
diabolic,2,1,1,6.4925000000000015,3,,
prerogative,2,1,1,6.4925000000000015,3,,
racy,2,1,1,6.4925000000000015,3,,
foreword,2,1,1,6.4925000000000015,3,,
buoyant,2,2,1,6.4925000000000015,3,,
arcane,2,1,1,6.4925000000000015,3,,
truss,2,1,1,6.4925000000000015,3,,
meteoric,2,1,1,6.4925000000000015,3,,
sparing,2,1,1,6.4925000000000015,3,sparse稀疏,
stupor,2,1,1,6.4925000000000015,3,,
malignant,4,2,1,6.4925000000000015,3,,0.0
lance,2,1,1,6.4925000000000015,3,,
periodical,2,1,1,6.4925000000000015,3,period周期的，ical。期刊,
dashing,2,1,1,6.4925000000000015,3,,0.0
attune,2,1,1,6.4925000000000015,3,,
dubious,2,1,1,6.4925000000000015,3,,
banish,2,1,1,6.4925000000000015,3,,0.0
capitulate,2,1,1,6.4925000000000015,3,,
conflate,2,1,1,6.4925000000000015,3,,
unrequited,2,1,1,6.4925000000000015,3,,
redeem,2,1,1,6.4925000000000015,3,,
debut,2,1,1,6.4925000000000015,3,,
subsidiary,2,1,1,6.4925000000000015,3,,
caveat,2,1,1,6.4925000000000015,3,,
menace,2,1,1,6.4925000000000015,3,,
sunder,2,1,1,6.4925000000000015,3,,
parsimonious,2,1,1,6.4925000000000015,3,,
munificent,2,1,1,6.4925000000000015,3,mun麻麻，ificent多的大量，充足。,
obligatory,2,1,1,6.4925000000000015,3,,
saunter,2,1,1,6.4925000000000015,3,,
glacial,2,1,1,6.4925000000000015,3,,
timorous,2,1,1,6.4925000000000015,3,,
tatty,2,1,1,6.4925000000000015,3,,
salutation,2,1,1,6.4925000000000015,3,,0.0
tender,2,1,1,6.4925000000000015,3,,
constrict,2,1,1,6.4925000000000015,3,,
austere,2,1,1,6.4925000000000015,3,,
rescind,2,1,1,6.4925000000000015,3,,
rumple,2,1,1,6.4925000000000015,3,,0.0
amenity,2,1,1,6.4925000000000015,3,,
sprawl,2,1,1,6.4925000000000015,3,,
pertinent,2,1,1,6.4925000000000015,3,,
crescendo,2,1,1,6.4925000000000015,3,,
renege,2,1,1,6.4925000000000015,3,,
hortative,2,1,1,6.4925000000000015,3,,
dulcet,2,1,1,6.4925000000000015,3,,
gratuitous,2,1,1,6.4925000000000015,3,"fortuitous偶然的，gratuitous无缘无故的。tuitous,莫名的意思。渐渐的莫名，就是无缘无故。for莫名，突然的。",
sate,2,1,1,6.4925000000000015,3,sat坐着，sate满足,
profligate,2,1,1,6.4925000000000015,3,,
meager,2,1,1,6.4925000000000015,3,,1.0
heinous,2,1,1,6.4925000000000015,3,,
nil,2,1,1,6.4925000000000015,3,nun,0.0
trumpet,2,1,1,6.4925000000000015,3,,
scant,2,1,1,6.4925000000000015,3,,
submerge,2,1,1,6.4925000000000015,3,,
feisty,2,1,1,6.4925000000000015,3,,0.0
balky,3,1,1,6.4925000000000015,3,,
humiliate,2,1,1,6.4925000000000015,3,,
exude,2,1,1,6.4925000000000015,3,,0.0
languish,2,1,1,6.4925000000000015,3,,
stunt,2,1,1,6.4925000000000015,3,,0.0
trenchant,2,1,1,6.4925000000000015,3,,
teeter,2,1,1,6.4925000000000015,3,,
duplicity,2,1,1,6.4925000000000015,3,,
legion,2,1,1,6.4925000000000015,3,,
protrude,2,1,1,6.4925000000000015,3,,
frail,3,2,1,6.4925000000000015,3,,
